# Quarter-end close prices from Stooq
ticker,period,close
TWO,2014-12-31,27.1452
TWO,2015-03-31,29.4787
TWO,2015-06-30,27.7371
TWO,2015-09-30,25.8222
TWO,2015-12-31,24.4539
TWO,2016-03-31,24.6897
TWO,2016-06-30,27.3623
TWO,2016-09-30,27.9888
TWO,2016-12-31,29.396
TWO,2017-03-31,33.1782
TWO,2017-06-30,35.1839
TWO,2017-09-30,36.7198
TWO,2017-12-31,37.223
TWO,2018-03-31,36.2715
TWO,2018-06-30,38.4173
TWO,2018-09-30,37.4435
TWO,2018-12-31,33.3755
TWO,2019-03-31,36.4
TWO,2019-06-30,35.1803
TWO,2019-09-30,37.5648
TWO,2019-12-31,42.9696
TWO,2020-03-31,11.1967
TWO,2020-06-30,15.4022
TWO,2020-09-30,15.9856
TWO,2020-12-31,20.5424
TWO,2021-03-31,24.1922
TWO,2021-06-30,25.5014
TWO,2021-09-30,21.9478
TWO,2021-12-31,20.5483
TWO,2022-03-31,19.6936
TWO,2022-06-30,18.2974
TWO,2022-09-30,13.28
TWO,2022-12-31,15.77
TWO,2023-03-31,14.71
TWO,2023-06-30,13.88
TWO,2023-09-30,13.24
TWO,2023-12-31,13.93
TWO,2024-03-31,13.24
TWO,2024-06-30,13.21
TWO,2024-09-30,13.88
TWO,2024-12-31,11.83
TWO,2025-03-31,13.36
TWO,2025-06-30,10.77
TWO,2025-09-30,9.87
TWO,2025-12-31,10.5
TWO,2026-03-31,11.36
IVR,2009-06-30,33.9614
IVR,2009-09-30,38.1034
IVR,2009-12-31,39.6853
IVR,2010-03-31,40.0993
IVR,2010-06-30,34.8838
IVR,2010-09-30,37.5275
IVR,2010-12-31,38.0724
IVR,2011-03-31,39.8141
IVR,2011-06-30,40.2487
IVR,2011-09-30,28.2543
IVR,2011-12-31,29.3918
IVR,2012-03-31,39.7146
IVR,2012-06-30,42.7485
IVR,2012-09-30,48.4039
IVR,2012-12-31,49.0713
IVR,2013-03-31,54.8584
IVR,2013-06-30,44.1304
IVR,2013-09-30,42.3006
IVR,2013-12-31,41.7283
IVR,2014-03-31,48.2431
IVR,2014-06-30,52.3381
IVR,2014-09-30,48.8723
IVR,2014-12-31,49.4321
IVR,2015-03-31,51.094
IVR,2015-06-30,48.492
IVR,2015-09-30,42.6952
IVR,2015-12-31,44.5462
IVR,2016-03-31,45.2269
IVR,2016-06-30,52.3133
IVR,2016-09-30,59.6892
IVR,2016-12-31,58.7649
IVR,2017-03-31,63.7015
IVR,2017-06-30,70.6819
IVR,2017-09-30,74.2384
IVR,2017-12-31,79.0897
IVR,2018-03-31,74.5877
IVR,2018-06-30,74.3149
IVR,2018-09-30,75.8904
IVR,2018-12-31,71.5102
IVR,2019-03-31,80.2627
IVR,2019-06-30,84.2359
IVR,2019-09-30,82.3448
IVR,2019-12-31,92.2259
IVR,2020-03-31,21.0232
IVR,2020-06-30,27.3772
IVR,2020-09-30,19.9444
IVR,2020-12-31,25.3271
IVR,2021-03-31,30.7603
IVR,2021-06-30,30.5942
IVR,2021-09-30,25.3004
IVR,2021-12-31,22.9631
IVR,2022-03-31,19.4174
IVR,2022-06-30,13.0456
IVR,2022-09-30,10.4649
IVR,2022-12-31,12.73
IVR,2023-03-31,11.09
IVR,2023-06-30,11.47
IVR,2023-09-30,10.01
IVR,2023-12-31,8.86
IVR,2024-03-31,9.68
IVR,2024-06-30,9.37
IVR,2024-09-30,9.39
IVR,2024-12-31,8.05
IVR,2025-03-31,7.89
IVR,2025-06-30,7.84
IVR,2025-09-30,7.56
IVR,2025-12-31,8.41
IVR,2026-03-31,7.79
MFA,2005-03-31,6.37302
MFA,2005-06-30,6.2391
MFA,2005-09-30,5.13406
MFA,2005-12-31,4.774
MFA,2006-03-31,5.31774
MFA,2006-06-30,5.76159
MFA,2006-09-30,6.2391
MFA,2006-12-31,6.43998
MFA,2007-03-31,6.44839
MFA,2007-06-30,6.09639
MFA,2007-09-30,6.74113
MFA,2007-12-31,7.747
MFA,2008-03-31,5.27566
MFA,2008-06-30,5.45934
MFA,2008-09-30,5.44361
MFA,2008-12-31,4.9328
MFA,2009-03-31,4.92512
MFA,2009-06-30,5.79452
MFA,2009-09-30,6.66611
MFA,2009-12-31,6.15531
MFA,2010-03-31,6.16336
MFA,2010-06-30,6.19483
MFA,2010-09-30,5.98699
MFA,2010-12-31,6.40705
MFA,2011-03-31,6.86224
MFA,2011-06-30,6.93505
MFA,2011-09-30,6.72612
MFA,2011-12-31,6.9453
MFA,2012-03-31,7.732
MFA,2012-06-30,8.43784
MFA,2012-09-30,9.35627
MFA,2012-12-31,9.42853
MFA,2013-03-31,12.0658
MFA,2013-06-30,11.5489
MFA,2013-09-30,10.8491
MFA,2013-12-31,10.572
MFA,2014-03-31,11.9103
MFA,2014-06-30,12.9275
MFA,2014-09-30,12.5626
MFA,2014-12-31,13.2194
MFA,2015-03-31,13.33
MFA,2015-06-30,12.8607
MFA,2015-09-30,12.1856
MFA,2015-12-31,12.1573
MFA,2016-03-31,12.9925
MFA,2016-06-30,14.1835
MFA,2016-09-30,14.984
MFA,2016-12-31,15.6801
MFA,2017-03-31,17.0266
MFA,2017-06-30,18.1005
MFA,2017-09-30,19.3364
MFA,2017-12-31,17.9222
MFA,2018-03-31,17.5032
MFA,2018-06-30,18.0923
MFA,2018-09-30,18.0246
MFA,2018-12-31,16.8739
MFA,2019-03-31,18.8808
MFA,2019-06-30,19.1754
MFA,2019-09-30,20.188
MFA,2019-12-31,21.5218
MFA,2020-03-31,4.8856
MFA,2020-06-30,7.84909
MFA,2020-09-30,8.60286
MFA,2020-12-31,12.7263
